category,song,lyrics,label
Mr.Children,I,もう　いいでしょう!?これで終わりにしようねぇ　どうでしょう!?君だってそう思うでしょ!?散々　好き勝手生きてきてまだ何を欲しがってるんだい?　天国(ヘブン)かい?こんな風に日々は続いてくのでしょう処方された薬にすがりつく「I」「誰も悪くないの」とか言い出すんでしょ!?自分を責めるふりして許しを請え　Ahイメージはドロップアウトした世界さぁ　どうでしょう!?誰も見ないワンマンショー泣いて傷ついたふりして気を引いてみようかなぁ　Ahそんな風に自分を甘やかすのでしょう支持してくれるスポンサーに媚を売る「I」挙句には「死にたい」とか言い出すんでしょう !?思いどおりいかないときの一発芸　どう?散々　周りを振り回して結局　何をしたいんだか自分にもさっぱり分からないんだこんな風に日々は続いてくのでしょう奪いも捨てもせず 命を燃やそうか自分が一番可愛い? ほら当たってるでしょう!?でもそれを責めたり 誰ができるの?,0
Mr.Children,I Can Make It,"明け方　非現実的な夢をバスタブに浮かべてみる身体は疲れてるのに目は冴えるやるべきことは沢山「追いかけてるはずが追われてる」ここんとこは　そんな日々だ「やれる」とは言ってみたけど確信はないいやむしろ自信は揺らいでるプレッシャーの前に引っ込めるアイデア後悔だけを生んで日の目を見ないままのこの願いため息に溶け　飛んでいけ全編を通し暗いタッチで描かれたモノクロの映画を観た悲劇の主人公と自分重ねて仲間が増えた気がしたいつか自分さえ知らない自分に驚きを感じたい日の目を見ないままのこの誓いI Can Make It, I Can Make It不可能を可能にするスキルを泣く子も黙る自信と貫禄を醜いアヒルが白鳥に変わる逆転劇起こせれば...「ダメ」だと思った時なんて数知れずでもまだ早いさ　諦めたくない　何もやっていやしない締め切りを前に取り下げるアイデア後悔ばかりが増える日の目を見ないままのこの願いため息に溶け　飛んでいけそしていつか自分の存在を証明してI Can Make It, Make It, Make Itいつかは非現実的な夢も叶うと信じI Can Make It",0
Mr.Children,I'm sorry,あれは血迷ってた僕の思い過ごしでした八割位はあなたの言った通りでしたいましがた　人づてで　御様子を知りましたお詫びします　心から大好きだったあの笑顔をもう一度大嫌いなんて　なじんないで今後とも一区切りついたら中華でもおごるから雨降って地固まると　そのことわざ通り歩きましょう　肩並べて　また駒沢通りいたしかたないなどと　開き直る気などないお詫びします　心から人生だってあなたがいなくちゃ味気ない今頃になって気付いた訳では決してないもしも望むのなら土下座でもなんでもするからするから笑って許してあれは血迷ってた僕の思い過ごしでした九割近くはあなたの言った通りでした大好きだったあの笑顔をもう一度大嫌いなんて　なじんないで今後とも人生だってあなたがいなくちゃ味気ない今頃になって気付いた訳では決してないもしも望むのなら土下座でもなんでもするからするから笑って許してI'm sorry.....,0
Mr.Children,I'm talking about Lovin',有効期限(リミット)までまだ間に合うぜ僕が手にしたone-way ticket胸に秘めた不満も 不安も さて置いてRide! Ride! Ride!何が起こるのか知らせないのが天使のエチケット君にしたって本能に翻弄されるのも悪くないんじゃない!?Oh... I'm talking about Lovin'君がいれば僕の周りの雑草も薔薇色の世界吹雪きの日も暖房とレインコート　使わないで暖をとっていたいなんとかロスタイムまで持ち込んで1対1のPK力まないで何度もファインゴール振りぬいてど真ん中を狙え!Oh... I'm talking about Lovin'君は運命の人って思ったりして　思い違いかなって迷ったりして大きなシーソーの上で右往左往するFriendじゃ辛いけどThe ENDになるくらいなら慌てなくていいや。。。また明日また明日Oh... I'm talking about Lovin'君は運命の人って思ったりして　間違いないよって念を押したりして大きなスクランブルで立ち往生するもし縁遠くなったって未練たらしくしちゃいそうでなんだか怖いから。。。また明日また明日有効期限までそう時間もないぜ僕の大事なone-way ticket伝えたいのはONE WORDONE WORD...Oh... I like you. I love you.,0
Mr.Children,I'LL BE,気が付きゃ勇み足　そんな日には深呼吸をしてみるんだTシャツの中を泳ぐ風と　共に歌いながら乾きを癒せない砂漠の様に　何だって飲み込んでしまえるそんな漠然としたイメージだけが　今日も僕を支えてんだ街がジオラマみたくみえるビルの最上階形を変えながら飛ぶ雲が見えるかい?今日はゾウ　明日はライオンてな具合に心はいつだって捕らえようがなくてそんでもって自由だ生きてる証を　時代に打ち付けろ貧弱な魂で　悪あがきしながら何度へましたっていいさ　起死回生で毎日がレボリューション人生はフリースタイル　孤独でも忍耐笑いたがる人にはキスをそしていつだって I say yes.I'll be thereピーナッツをひとつ　噛み砕きながら　飲み込んでしまった想いは真夜中　血液に溶けて　身体中をノックしたいつも心にしてたアイマスクを外してやればいい不安や迷いと無二の親友になればいい旅立とう　明日は無いぞってな具合に胸に刻みながら一歩ずつ進んでいつだって夢中だ腑甲斐無い自分に　銃口を突き付けろ当たり障り無い　道を選ぶくらいなら全部放り出して　コンプレックスさえもいわばモチベーション人生はいつもQ&Aだ永遠に続いてく禅問答そしていつの日か僕も deadI'll be back駆け引きの世界で　僕が得たものをダスタシュートに投げ込むよ白地図を広げて　明日を待っていたい目一杯の助走をつけて　あのボーダーラインを飛ぶんだ風向きを味方につけて　猫背を気にしながら生きてる証を　時代に打ち付けろ貧弱な魂で　悪あがきしながら何度へましたっていいさ　起死回生で毎日がレボリューション人生はフリースタイル　孤独でも忍耐笑いたがる人にはキスをそしていつだって I say yes.I'll be there,0
Mr.Children,I wanna be there,不眠症になりそうな寝苦しい夜がここ数日間続いて　あるとき思い立った似たような瞬間は　これまでもあったでも今回はリアルだ　昨日の自分にさよならさいちばんタフな靴を選んでまた　装飾のない服を着て音楽は俺の頭の中で鳴らしてくI wanna be there「アホらしい」って　もう一人の俺が言うぜでも聞こえないんだ今はI wanna be there「アンタらしいね」って　微笑んでさみしそうに見送ってくれないか負けそうになった時の旅の道連れを部屋中探して回った　でも結局見つからなかった必要なものを　足りないものをそうだ　そのままに感じること「生きていること」にもっと感謝して生きていたいI wanna be there新しい出会いが待っている　もしかしたら素敵な運命の人が(笑)I wanna be there「アンタらしいね」って　手を振って泣きながら見送ってくれないかI wanna be there「アホらしい」って　もう一人の俺が言うぜでも聞こえないんだ今はI wanna be there新しい出会いが待っている　そうさきっとこの旅路の上でI wanna be there I wanna be thereさみしそうに見送ってくれないか,0
Mr.Children,蒼,自分では精一杯してるつもりでも動かないものばかりで揺らめく陽炎に憧れ　目で追う触れないと知っていてもその人なりが果たすべき使命にただひたむきであれと諭すのに静かに　静かに　夢はささくれ届かぬ　祈りに　胸が暴れるただただ自分の身の丈を知らされわずかばかりの譲れぬ誇りにただ正直であれと願うのに静かに　密かに　嘘を重ね淀んだ　時流れに　自由を奪われただただ自分の身の丈を知らされそれでも心は手を伸ばし続ける,0
Mr.Children,秋がくれた切符,風の匂いもいつしか　秋のものになってたカーディガン着た君の　背中見てそう思う公園の緑は　その葉落としはじめてカバンの中に一枚そっと着地した神様が僕らにくれた何かの切符みたいだでも　どこへ行けというんだろうこの葉眺めて思う茜色の夕日は　綺麗で切なくてこのまま時間が止まればいいのにな神様が僕らにくれた何かの切符みたいだでも　なんの褒美なんだろう今日も喧嘩したのに神様が僕らにくれた何かの切符みたいだ君はまだ気付いてないんだなその贈り物に風の匂いもいつしか　秋のものになってた寒そうにしてる君に　駆け寄り手を繋ぐ,0
Mr.Children,others,君の指に触れくちびるに触れ時間(とき)が止まった硬い氷は溶け身体中を滑る2人の熱で何が起こったの？しばらく何も考えたくない窓の外の月を見てるまるで近未来の映画のようアンドロイドが感情なんかなくただ互いのエネルギーを吸い合うように意味はあるだろう…たけど深く考えられない気まずさでビール口に運んだテーブルの上の灰皿アメリカ史紐解く文庫本それはきっと彼のもの「そろそろ行くね」って僕の言葉を待っていたかのよう無駄のない動きで君は　そう僕に手を振る「すぐ捕まるさ」そう言いながらスニーカーを履きタクシーに向けて僕は走ったベッドで聞いていた blues誰の曲かも君は知りはしないきっと彼の好きな曲愛し愛されてたとしてもそう感じられるのは一瞬でその一瞬を君は僕に分けてくれた君の胸に触れくちびるに触れ時間が止まった硬い氷は溶け身体中を滑る2人の熱で何が起こったの？このまま何も考えたくない25時の首都高に輝く窓の外の月を見てる,0
Mr.Children,足音 ?Be Strong,新しい靴を履いた日は　それだけで世界が違って見えた昨日までと違った自分の足音が　どこか嬉しくてあてもなく隣の町まで　何も考えずしばらく歩いて「こんなことも最近はしてなかったな...」って　ぼんやり思った舗装された道を選んで歩いていくだけそんな日々だけど　もうやめたいんだ今日はそんな気がしてる夢見てた未来はそれほど離れちゃいないまた一歩　次の一歩　足音を踏み鳴らせ！時には灯りのない寂しい夜が来たってこの足音を聞いてる　誰かがきっといる疲れて歩けないんなら　立ち止まってしがみついていれば地球は回っていって　きっといい方向へ　僕らを運んでくれるどんな人にだって心折れそうな日はある「もうダメだ」って思えてきても大丈夫もっと強くなっていける今という時代は言うほど悪くはないまた一歩　次の一歩　靴紐を結び直して喜びを分かち合い弱さを補い合い大切な誰かと歩いていけるならもう怖がんないで　怯(ひる)まないで　失敗なんかしたっていい拒まないで　歪めないで　巻き起こってるすべてのことを真っ直ぐに受け止めたい夢見てた未来はそれほど離れちゃいないまた一歩　次の一歩　足音を踏み鳴らせ！例えば雨雲が目の前を覆ったってまた日差しを探して歩き出そう時には灯りのない孤独な夜が来たってこの足音を聞いてる　誰かがきっといる,0
